DEPTH,CALI,COAL,DT,DT_LOG,DTS,DTS_LOG,GR,NPHI,PHIE,PHIEC,PHIT,PHITC,RHOB,RHOB_LOG,RT,RW,TEMP
3543.6047,8.981,0,66.0031,66.0031,125.2337,125.2337,13.042,0.0984,0.0484,0.0484,0.0484,0.0484,2.5739,2.574,5.718,0.0208,95.7968
3543.7571,8.981,0,66.1511,66.1511,126.1457,126.1457,16.831,0.0989,0.0408,0.0408,0.0408,0.0408,2.586,2.586,6.006,0.0208,95.801
3543.9095,8.975,0,66.351,66.351,125.6855,125.6855,17.929,0.0958,0.035,0.035,0.035,0.035,2.595,2.595,6.034,0.0208,95.8052
3544.0619,8.963,0,66.402,66.402,125.0031,125.0031,20.028,0.1032,0.0433,0.0433,0.0433,0.0433,2.5821,2.582,5.915,0.0208,95.8095
3544.2143,8.981,0,66.3069,66.3069,122.31,122.31,17.256,0.1056,0.0528,0.0528,0.0528,0.0528,2.5671,2.567,5.848,0.0208,95.8137
3544.3667,8.969,0,66.1609,66.1609,118.1754,118.1754,18.124,0.0983,0.0547,0.0547,0.0547,0.0547,2.564,2.564,5.863,0.0208,95.818
3544.5191,8.987,0,66.0189,66.0189,115.9765,115.9765,20.227,0.0994,0.0446,0.0446,0.0446,0.0446,2.5799,2.58,5.894,0.0208,95.8222
3544.6715,8.975,0,65.8759,65.8759,115.2872,115.2872,19.347,0.1003,0.0427,0.0427,0.0427,0.0427,2.583,2.583,5.996,0.0208,95.8264
3544.8239,8.975,0,65.7319,65.7319,115.5741,115.5741,18.154,0.1049,0.0255,0.0255,0.0255,0.0255,2.6099,2.61,6.295,0.0208,95.8307
3544.9763,8.969,0,65.6039,65.6039,117.118,117.118,18.576,0.0936,0.0521,0.0521,0.0521,0.0521,2.5682,2.568,6.69,0.0208,95.8349
3545.1287,8.969,0,65.4749,65.4749,118.5648,118.5648,20.502,0.0973,0.0554,0.0553,0.0554,0.0553,2.563,2.563,6.827,0.0208,95.8391
3545.2811,8.981,0,65.324,65.324,122.4075,122.4075,21.071,0.1042,0.0566,0.0566,0.0566,0.0566,2.561,2.561,6.572,0.0208,95.8434
3545.4335,8.957,0,65.219,65.219,124.4845,124.4845,20.842,0.1031,0.0529,0.0529,0.0529,0.0529,2.567,2.567,6.169,0.0208,95.8476
3545.5859,8.969,0,65.2911,65.2911,125.2264,125.2264,22.337,0.1143,0.0344,0.0344,0.0344,0.0344,2.5959,2.596,5.815,0.0208,95.8518
3545.7383,8.981,0,65.5682,65.5682,124.3326,124.3326,25.086,0.1095,0.0448,0.0448,0.0452,0.0452,2.5791,2.579,5.572,0.0208,95.8561
3545.8907,8.993,0,65.9111,65.9111,122.4449,122.4449,26.066,0.1188,0.0303,0.0303,0.0312,0.0312,2.6009,2.601,5.502,0.0208,95.8603
3546.0431,8.975,0,66.124,66.124,122.3585,122.3585,20.987,0.1187,0.0388,0.0388,0.0388,0.0388,2.589,2.589,5.644,0.0208,95.8645
3546.1955,8.963,0,66.0959,66.0959,121.6937,121.6937,21.592,0.1321,0.0686,0.0671,0.0686,0.0671,2.5422,2.542,5.946,0.0208,95.8688
3546.3479,8.987,0,65.8328,65.8328,121.2199,121.2199,16.546,0.0963,0.0681,0.0664,0.0681,0.0664,2.543,2.543,6.297,0.0208,95.873
3546.5003,8.9391,0,65.3707,65.3707,119.6315,119.6315,15.6878,0.1076,0.0573,0.0571,0.0573,0.0571,2.56,2.5601,6.6407,0.0208,95.8772
3546.6527,8.963,0,64.7237,64.7237,118.8806,118.8806,13.346,0.073,0.0421,0.0421,0.0421,0.0421,2.5839,2.584,6.916,0.0208,95.8815
3546.8051,8.933,0,63.9577,63.9577,118.3661,118.3661,10.427,0.0728,0.0331,0.0331,0.0331,0.0331,2.5979,2.598,6.991,0.0208,95.8857
3546.9575,8.951,0,63.2388,63.2388,118.4617,118.4617,12.415,0.0757,0.0477,0.0477,0.0477,0.0477,2.5751,2.575,6.785,0.0208,95.89
3547.1099,8.951,0,62.7359,62.7359,119.4967,119.4967,13.297,0.0846,0.049,0.049,0.049,0.049,2.573,2.573,6.36,0.0208,95.8942
3547.2623,8.963,0,62.498,62.498,120.5033,120.5033,15.242,0.0792,0.0623,0.0619,0.0623,0.0619,2.5521,2.552,5.883,0.0208,95.8984
3547.4147,8.957,0,62.466,62.466,122.2742,122.2742,13.897,0.0955,0.0719,0.0701,0.0719,0.0701,2.5371,2.537,5.539,0.0208,95.9027
3547.5671,8.975,0,62.5821,62.5821,119.7732,119.7732,15.794,0.0921,0.0662,0.0655,0.0662,0.0655,2.546,2.546,5.434,0.0208,95.9069
3547.7195,8.987,0,62.8382,62.8382,118.7149,118.7149,13.277,0.0902,0.0269,0.0269,0.0269,0.0269,2.6078,2.608,5.557,0.0208,95.9111
3547.8719,8.975,0,63.2062,63.2062,119.9271,119.9271,14.012,0.0872,0.042,0.042,0.042,0.042,2.5841,2.584,5.795,0.0208,95.9154
3548.0243,8.939,0,63.5681,63.5681,120.1363,120.1363,12.651,0.0905,0.0484,0.0484,0.0484,0.0484,2.574,2.574,6.007,0.0208,95.9196
3548.1767,8.987,0,63.767,63.767,121.9457,121.9457,13.239,0.0951,0.0528,0.0528,0.0528,0.0528,2.567,2.567,6.124,0.0208,95.9238
3548.3291,8.969,0,63.7359,63.7359,121.4695,121.4695,14.449,0.0937,0.0313,0.0313,0.0313,0.0313,2.6009,2.601,6.189,0.0208,95.9281
3548.4815,8.963,0,63.5299,63.5299,120.7344,120.7344,14.845,0.0872,0.0477,0.0477,0.0477,0.0477,2.5751,2.575,6.269,0.0208,95.9323
3548.6339,8.939,0,63.2599,63.2599,119.9096,119.9096,13.14,0.0849,0.0414,0.0414,0.0414,0.0414,2.585,2.585,6.366,0.0208,95.9365
3548.7863,8.957,0,63.0269,63.0269,119.3265,119.3265,12.184,0.0807,0.0477,0.0477,0.0477,0.0477,2.575,2.575,6.423,0.0208,95.9408
3548.9387,8.951,0,62.892,62.892,118.6027,118.6027,15.562,0.0834,0.0236,0.0236,0.0236,0.0236,2.6128,2.613,6.371,0.0208,95.945
